Journal/Book	COUNT
Gland Surg	2
Glob Cardiol Sci Pract	1
Glob Chall	1
Glob Chang Biol	5
Glob Financ J	1
Glob Health Action	2
Glob Health Med	1
Glob Health Res Policy	1
Glob Health Sci Pract	1
Glob Heart	1
Glob Ment Health (Camb)	1
Glob Policy	1
Global Health	1
Global Spine J	7
Glycobiology	2
Glycoconj J	1
Graefes Arch Clin Exp Ophthalmol	1
Gut	4
Gynecol Endocrinol	2
Gynecol Obstet Fertil	2
Gynecol Oncol	2
HIV Med	6
HLA	1
HPB (Oxford)	5
Haematologica	7
Haemophilia	10
Hand Surg Rehabil	5
Handb Clin Neurol	4
Handb Exp Pharmacol	1
Handchir Mikrochir Plast Chir	1
Harm Reduct J	2
Harmful Algae	1
Hawaii J Med Public Health	1
Head Neck	2
Head Neck Pathol	1
Headache	2
Health (London)	1
Health Commun	1
Health Data Sci	1
Health Informatics J	1
Health Place	2
Health Policy Plan	4
Health Promot Int	3
Health Promot Perspect	3
Health Psychol Behav Med	1
Health Psychol Open	1
Health Psychol Rep	1
Health Psychol Res	1
Health Psychol Rev	1
Health Qual Life Outcomes	5
Health Res Policy Syst	1
Health Sociol Rev	1
Health Syst Reform	1
Healthc Technol Lett	1
Healthcare (Basel)	6
Heart	6
Heart Lung Circ	1
Heart Rhythm	1
HeartRhythm Case Rep	4
Heliyon	7
Hemasphere	1
Hematol Oncol	1
Hepat Oncol	1
Hepatology	6
Heredity (Edinb)	1
High Alt Med Biol	4
Hist Philos Life Sci	2
Hist Sci	1
Histopathology	1
Horm Res Paediatr	1
Hortic Res	2
Hosp Pharm	2
Hosp Top	1
Hum Brain Mapp	18
Hum Genet	4
Hum Genomics	2
Hum Mol Genet	7
Hum Mov Sci	1
Hum Mutat	4
Hum Reprod	4
Hum Reprod Update	1
Hum Resour Health	1
Hum Vaccin Immunother	4
Humanit Soc Sci Commun	1
Hydrol Process	1
Hypertension	1
IDCases	2
ISME Commun	1
ISME J	3
IUCrJ	1
Immunity	1
Immunobiology	1
Immunogenetics	1
Immunol Cell Biol	1
Immunotargets Ther	1
Implement Sci	2
Implement Sci Commun	1
In Vivo	1
Ind Health	1
Indian J Med Res	1
Indian Pacing Electrophysiol J	1
Infancy	1
Infant Behav Dev	4
Infant Ment Health J	2
Infect Chemother	1
Infect Dis (Lond)	1
Infect Dis Now	1
Infect Dis Ther	2
Infect Drug Resist	1
Infect Genet Evol	2
Infect Immun	1
Inflamm Bowel Dis	1
Inflamm Intest Dis	1
Influenza Other Respir Viruses	1
Injury	3
Innov Surg Sci	1
Innovations (Phila)	1
Inorg Chem	26
Inquiry	1
Insights Imaging	3
Int Arch Occup Environ Health	3
Int Clin Psychopharmacol	1
Int Dent J	3
Int Forum Allergy Rhinol	1
Int Immunopharmacol	1
Int J Adolesc Med Health	1
Int J Antimicrob Agents	7
Int J Artif Organs	2
Int J Behav Nutr Phys Act	1
Int J Billing	1
Int J Biochem Cell Biol	11
Int J Biomater	1
Int J Biometeorol	2
Int J Bioprint	1
Int J Bipolar Disord	1
Int J Cancer	5
Int J Cardiol	23
Int J Cardiol Congenit Heart Dis	1
Int J Cardiovasc Imaging	2
Int J Clin Health Psychol	2
Int J Clin Pharm	3
Int J Colorectal Dis	5
Int J Comput Assist Radiol Surg	10
Int J Disaster Risk Reduct	1
Int J Drug Policy	1
Int J Earth Sci	2
Int J Eat Disord	5
Int J Emerg Med	2
Int J Endocrinol	1
Int J Endocrinol Metab	1
Int J Environ Res Public Health	78
Int J Epidemiol	3
Int J Equity Health	4
Int J Evid Based Healthc	1
Int J Food Microbiol	1
Int J Geriatr Psychiatry	3
Int J Gynaecol Obstet	3
Int J Gynecol Cancer	5
Int J Gynecol Pathol	1
Int J Health Econ Manag	1
Int J Health Plann Manage	2
Int J Health Policy Manag	4
Int J Hyg Environ Health	5
Int J Impot Res	2
Int J Infect Dis	4
Int J Lab Hematol	4
Int J Lang Commun Disord	2
Int J Law Psychiatry	1
Int J Legal Med	13
Int J Med Inform	1
Int J Med Robot	5
Int J Methods Psychiatr Res	7
Int J Microbiol	1
Int J Mol Sci	42
Int J Neural Syst	1
Int J Neuropsychopharmacol	2
Int J Neurosci	2
Int J Numer Method Biomed Eng	1
Int J Nurs Pract	1
Int J Obes (Lond)	5
Int J Occup Saf Ergon	3
Int J Ophthalmol	1
Int J Osteoarchaeol	1
Int J Paleopathol	2
Int J Pediatr Otorhinolaryngol	2
Int J Pharm	17
Int J Pharm Pract	1
Int J Pharm X	2
Int J Prison Health	2
Int J Psychiatry Clin Pract	2
Int J Psychoanal	1
Int J Psychophysiol	14
Int J Public Health	21
Int J Qual Health Care	1
Int J Radiat Biol	1
Int J Radiat Oncol Biol Phys	10
Int J Risk Saf Med	1
Int J STD AIDS	1
Int J Soc Psychiatry	2
Int J Speech Lang Pathol	1
Int J Stroke	1
Int J Surg Case Rep	5
Int J Surg Protoc	1
Int J Syst Evol Microbiol	1
Int J Technol Des Educ	1
Int J Tuberc Lung Dis	4
Int J Vitam Nutr Res	1
Int J Womens Health	2
Int Marit Health	1
Int Med Case Rep J	1
Int Migr	1
Int Orthod	1
Int Orthop	5
Int Psychogeriatr	7
Int Rev Cell Mol Biol	1
Int Urogynecol J	1
Int Urol Nephrol	2
Integr Environ Assess Manag	1
Intensive Care Med	21
Intensive Care Med Exp	1
Intensive Crit Care Nurs	3
Interact Cardiovasc Thorac Surg	1
Interdiscip Top Gerontol Geriatr	1
Interface Focus	1
Intern Emerg Med	2
Interv Neuroradiol	1
Invest Educ Enferm	1
Invest Ophthalmol Vis Sci	2
Iperception	1
Ir J Med Sci	1
Iran J Med Sci	1
Iran J Nurs Midwifery Res	1
Isotopes Environ Health Stud	1
Isr Med Assoc J	1
Ital J Pediatr	1
J Abnorm Child Psychol	1
J Abnorm Psychol	1
J Acoust Soc Am	6
J Acquir Immune Defic Syndr	2
J Addict Med	3
J Adolesc Health	1
J Adolesc Young Adult Oncol	1
J Adv Res	1
J Affect Disord	8
J Affect Disord Rep	1
J Aging Health	1
J Aging Soc Policy	1
J Aging Stud	1
J Agric Food Chem	3
J Allergy Clin Immunol	5
J Alzheimers Dis	9
J Alzheimers Dis Rep	1
J Am Acad Child Adolesc Psychiatry	1
J Am Acad Dermatol	1
J Am Chem Soc	45
J Am Coll Cardiol	7
J Am Coll Radiol	1
J Am Geriatr Soc	3
J Am Heart Assoc	16
J Am Med Dir Assoc	5
J Am Med Inform Assoc	1
J Am Soc Cytopathol	1
J Am Soc Mass Spectrom	2
J Am Soc Nephrol	5
J Anal At Spectrom	1
J Anal Toxicol	1
J Antibiot (Tokyo)	3
J Antimicrob Chemother	13
J Appl Crystallogr	2
J Appl Microbiol	1
J Appl Physiol (1985)	2
J Appl Volcanol	1
J Arthroplasty	1
J Assoc Res Otolaryngol	1
J Atten Disord	3
J Autism Dev Disord	5
J Autoimmun	2
J BUON	1
J Bacteriol	1
J Behav Addict	3
J Behav Med	1
J Bioeth Inq	1
J Biol Chem	6
J Biol Regul Homeost Agents	1
J Biomech	4
J Biomed Inform	2
J Biomed Mater Res A	1
J Biomol Struct Dyn	1
J Bone Joint Surg Am	2
J Bone Jt Infect	2
J Bone Miner Res	2
J Breath Res	1
J Burn Care Res	1
J Cachexia Sarcopenia Muscle	2
J Can Assoc Gastroenterol	1
J Cancer Policy	2
J Cancer Res Clin Oncol	2
J Cancer Surviv	1
J Card Surg	3
J Cardiol	1
J Cardiothorac Surg	1
J Cardiothorac Vasc Anesth	4
J Cardiovasc Comput Tomogr	1
J Cardiovasc Electrophysiol	3
J Cardiovasc Med (Hagerstown)	1
J Cataract Refract Surg	7
J Cell Biol	4
J Cell Sci	4
J Cereb Blood Flow Metab	8
J Chem Ecol	1
J Chem Phys	14
J Chem Theory Comput	8
J Cheminform	1
J Child Adolesc Psychopharmacol	4
J Child Adolesc Trauma	1
J Child Fam Stud	2
J Child Lang	9
J Child Orthop	1
J Child Psychol Psychiatry	3
J Chromatogr A	8
J Chromatogr B Analyt Technol Biomed Life Sci	7
J Chromatogr Sci	1
J Clin Anesth	1
J Clin Child Adolesc Psychol	1
J Clin Endocrinol Metab	5
J Clin Epidemiol	6
J Clin Exp Neuropsychol	4
J Clin Gastroenterol	2
J Clin Hypertens (Greenwich)	1
J Clin Immunol	1
J Clin Invest	1
J Clin Lipidol	1
J Clin Med	32
J Clin Microbiol	2
J Clin Monit Comput	7
J Clin Neurosci	2
J Clin Nurs	3
J Clin Oncol	10
J Clin Orthod	2
J Clin Periodontol	8
J Clin Pharm Ther	1
J Clin Pharmacol	1
J Clin Psychiatry	5
J Clin Psychol	1
J Clin Psychopharmacol	3
J Clin Sleep Med	1
J Clin Virol	1
J Cogn	3
J Cogn Dev	1
J Cogn Enhanc	2
J Cogn Neurosci	6
J Colloid Interface Sci	6
J Commun Disord	3
J Comp Econ	1
J Comp Neurol	1
J Comput Assist Tomogr	1
J Comput Neurosci	1
J Comput Soc Sci	1
J Contam Hydrol	1
J Contemp Brachytherapy	1
J Control Release	6
J Cosmet Dermatol	1
J Craniofac Surg	12
J Crit Care	4
J Crohns Colitis	3
J Curr Ophthalmol	1
J Cyst Fibros	2
J Deaf Stud Deaf Educ	1
J Dent	6
J Dent Res	1
J Dent Sci	1
J Dev Biol	1
J Diabetes Complications	1
J Diabetes Res	1
J Digit Imaging	2
J Drug Assess	1
J Dtsch Dermatol Ges	2
J Eat Disord	1
J Electrocardiol	3
J Electromyogr Kinesiol	2
J Emerg Med	1
J Environ Manage	3
J Environ Sci Health A Tox Hazard Subst Environ Eng	2
J Epidemiol Community Health	1
J Ethn Subst Abuse	1
J Ethnopharmacol	3
J Eukaryot Microbiol	4
J Eur Acad Dermatol Venereol	6
J Eur CME	1
J Eval Clin Pract	3
J Evid Based Med	3
J Exp Bot	1
J Exp Child Psychol	13
J Exp Clin Cancer Res	2
J Exp Med	3
J Exp Orthop	5
J Exp Psychol Appl	1
J Exp Psychol Gen	4
J Exp Psychol Hum Percept Perform	8
J Exp Psychol Learn Mem Cogn	6
J Expo Sci Environ Epidemiol	4
J Extracell Vesicles	1
J Fam Issues	1
J Fish Biol	1
J Fixed Point Theory Appl	1
J Foot Ankle Surg	1
J Forensic Leg Med	1
J Fr Ophtalmol	1
J Frailty Aging	1
J Frailty Sarcopenia Falls	1
J Fungi (Basel)	2
J Gen Intern Med	4
J Gen Philos Sci	1
J Gen Psychol	1
J Genet Genomics	1
J Geophys Res Planets	1
J Geophys Res Solid Earth	1
J Gerontol A Biol Sci Med Sci	3
J Gerontol B Psychol Sci Soc Sci	7
J Glaucoma	1
J Glob Health	7
J Grad Med Educ	1
J Gynecol Obstet Hum Reprod	2
J Hand Surg Asian Pac Vol	1
J Hand Surg Eur Vol	1
J Hand Surg Glob Online	4
J Hazard Mater	5
J Heart Lung Transplant	1
J Hematol Oncol	2
J Hepatol	13
J Homosex	1
J Hosp Infect	13
J Hum Evol	1
J Hum Hypertens	1
J Hypertens	2
J Immigr Minor Health	1
J Immunol	8
J Immunol Methods	1
J Immunother	1
J Immunother Cancer	6
J Immunother Precis Oncol	1
J Infect	1
J Infect Dis	7
J Int Bus Stud	1
J Int Med Res	1
J Int Migr Integr	1
J Int Neuropsychol Soc	2
J Intell	9
J Intellect Disabil	1
J Intellect Disabil Res	3
J Intensive Care Med	1
J Intensive Care Soc	1
J Intensive Med	1
J Intern Med	2
J Interprof Care	1
J Invertebr Pathol	1
J Invest Dermatol	1
J Investig Allergol Clin Immunol	1
J Kidney Cancer VHL	1
J Knee Surg	1
J Lab Autom	1
J Lasers Med Sci	1
J Law Biosci	1
J Leukoc Biol	2
J Lipid Res	2
J Magn Reson	5
J Mal Vasc	1
J Manage	1
J Marital Fam Ther	2
J Mass Spectrom	1
J Mater Chem C Mater	1
J Mater Sci	1
J Matern Fetal Neonatal Med	3
J Med Case Rep	3
J Med Chem	1
J Med Ethics	2
J Med Genet	2
J Med Imaging (Bellingham)	2
J Med Imaging Radiat Sci	1
J Med Internet Res	6
J Med Microbiol	1
J Med Signals Sens	1
J Med Vasc	2
J Migr Health	1
J Minim Invasive Gynecol	2
J Mol Biol	2
J Mol Cell Cardiol	2
J Mol Endocrinol	1
J Mol Med (Berl)	1
J Mol Model	1
J Nanobiotechnology	2
J Nat Prod	10
J Natl Cancer Inst	1
J Nephrol	2
J Nerv Ment Dis	3
J Neural Eng	1
J Neural Transm (Vienna)	1
J Neurochem	4
J Neurodev Disord	1
J Neuroeng Rehabil	4
J Neuroimaging	1
J Neuroimmunol	1
J Neuroinflammation	1
J Neurointerv Surg	7
J Neurol	6
J Neurol Neurosurg Psychiatry	8
J Neurol Sci	2
J Neurol Surg A Cent Eur Neurosurg	3
J Neurol Surg B Skull Base	1
J Neuromuscul Dis	1
J Neurooncol	1
J Neuropathol Exp Neurol	1
J Neurophysiol	8
J Neuropsychol	5
J Neuroradiol	1
J Neurosci	7
J Neurosci Methods	1
J Neurosci Res	4
J Neurosurg	5
J Neurosurg Anesthesiol	2
J Neurosurg Pediatr	1
J Neurosurg Sci	4
J Neurosurg Spine	2
J Neurotrauma	3
J Nucl Cardiol	2
J Nucl Med	4
J Nucl Med Technol	1
J Nurs Manag	1
J Nurs Meas	1
J Nutr	2
J Nutr Biochem	1
J Nutr Health Aging	2
J Occup Med Toxicol	1
J Occup Rehabil	1
J Oncol Pharm Pract	2
J Ophthalmic Vis Res	2
J Oral Rehabil	2
J Oral Sci	1
J Org Chem	3
J Orthop	3
J Orthop Sci	1
J Orthop Surg Res	1
J Orthop Trauma	1
J Otolaryngol Head Neck Surg	1
J Paediatr Child Health	1
J Pain Res	1
J Pain Symptom Manage	2
J Palliat Med	2
J Parkinsons Dis	1
J Pathol	1
J Pathol Clin Res	1
J Pathol Inform	1
J Patient Saf	3
J Pediatr	3
J Pediatr Endocrinol Metab	3
J Pediatr Gastroenterol Nutr	5
J Pediatr Genet	1
J Pediatr Surg	1
J Pediatr X	1
J Perianesth Nurs	1
J Perinatol	1
J Periodontal Implant Sci	2
J Periodontal Res	1
J Periodontol	5
J Peripher Nerv Syst	2
J Pers Assess	1
J Pers Disord	1
J Pers Med	7
J Pharm Biomed Anal	16
J Pharm Policy Pract	1
J Pharm Sci	2
J Photochem Photobiol B	1
J Phys Chem A	7
J Phys Chem B	20
J Phys Chem C Nanomater Interfaces	2
J Phys Chem Lett	17
J Phys Condens Matter	5
J Physiol	2
J Plant Physiol	2
J Prosthet Dent	8
J Prosthodont	3
J Proteome Res	4
J Proteomics	3
J Psychiatr Pract	2
J Psychiatr Res	8
J Psychiatry Neurosci	2
J Psycholinguist Res	1
J Psychopharmacol	1
J Psychosoc Oncol	1
J Public Health (Oxf)	2
J Public Health Policy	6
J Public Health Res	1
J R Soc Interface	1
J Radiol Prot	1
J Rehabil Med	1
J Rheumatol	5
J Rheumatol Suppl	1
J Robot Surg	2
J Sched	1
J Sci Med Sport	2
J Sep Sci	2
J Sex Marital Ther	1
J Sex Med	1
J Sex Res	1
J Shoulder Elbow Surg	8
J Sleep Res	1
J Soc Psychol	1
J Speech Lang Hear Res	7
J Sports Sci	1
J Sports Sci Med	1
J Stat Phys	1
J Steroid Biochem Mol Biol	1
J Stomatol Oral Maxillofac Surg	3
J Strength Cond Res	1
J Stroke	2
J Stroke Cerebrovasc Dis	1
J Struct Biol	1
J Stud Alcohol Drugs	2
J Surg Case Rep	1
J Surg Oncol	1
J Theor Biol	3
J Thorac Cardiovasc Surg	4
J Thorac Dis	9
J Thorac Oncol	3
J Thromb Haemost	13
J Thromb Thrombolysis	1
J Tissue Viability	2
J Transl Med	2
J Trauma Stress	1
J Travel Med	4
J Ultrason	1
J Ultrasound	1
J Urban Health	3
J Vasc Access	1
J Vasc Interv Radiol	2
J Vasc Res	1
J Vasc Surg	1
J Venom Anim Toxins Incl Trop Dis	1
J Vet Pharmacol Ther	1
J Viral Hepat	2
J Virol	6
J Virus Erad	2
J Vis	7
J Vis Exp	10
J Voice	2
J Water Health	1
J Wound Care	2
J Wrist Surg	1
J Youth Adolesc	2
JAC Antimicrob Resist	1
JACC Basic Transl Sci	1
JACC CardioOncol	1
JACC Cardiovasc Imaging	1
JACC Cardiovasc Interv	12
JACC Case Rep	5
JACC Clin Electrophysiol	3
JACS Au	4
JAMA	5
JAMA Cardiol	2
JAMA Dermatol	1
JAMA Intern Med	4
JAMA Netw Open	13
JAMA Neurol	5
JAMA Oncol	2
JAMA Otolaryngol Head Neck Surg	1
JAMA Psychiatry	1
JAMA Surg	3
JBI Database System Rev Implement Rep	1
JBI Evid Synth	1
JBRA Assist Reprod	1
JCI Insight	3
JCO Clin Cancer Inform	1
JCO Glob Oncol	1
JCO Precis Oncol	2
JHEP Rep	3
JMIR Form Res	3
JMIR Hum Factors	1
JMIR Med Educ	1
JMIR Med Inform	6
JMIR Ment Health	1
JMIR Mhealth Uhealth	2
JMIR Public Health Surveill	2
JMIR Res Protoc	4
JPGN Rep	1
JSES Int	1
JSES Open Access	1
JSES Rev Rep Tech	1
JTCVS Tech	1
JTO Clin Res Rep	1
Joint Bone Spine	2
Kidney Blood Press Res	1
Kidney Int	5
Kidney Int Rep	3
Knee Surg Sports Traumatol Arthrosc	19
Korean J Orthod	1
Lab Chip	1
Lab Invest	1
Lakartidningen	1
Lancet	36
Lancet Child Adolesc Health	1
Lancet Diabetes Endocrinol	4
Lancet Gastroenterol Hepatol	1
Lancet Glob Health	8
Lancet HIV	2
Lancet Haematol	4
Lancet Healthy Longev	4
Lancet Infect Dis	14
Lancet Microbe	1
Lancet Neurol	6
Lancet Oncol	8
Lancet Planet Health	3
Lancet Psychiatry	2
Lancet Public Health	4
Lancet Reg Health Am	1
Lancet Reg Health Eur	6
Lancet Reg Health Southeast Asia	1
Lancet Reg Health West Pac	1
Lancet Respir Med	4
Lang Speech	2
Langenbecks Arch Surg	2
Langmuir	20
Laryngorhinootologie	1
Laryngoscope	6
Lasers Surg Med	1
Laterality	4
Learn Mem	1
Leg Med (Tokyo)	1
Lett Appl Microbiol	1
Leukemia	5
Life (Basel)	2
Life Sci Alliance	3
Lipids Health Dis	1
Liver Int	9
Liver Transpl	1
Living Rev Relativ	1
Lung Cancer Manag	1
Lupus	3
MAGMA	2
MAbs	3
Mach Learn	1
Macromol Rapid Commun	1
Magn Reson Chem	8
Magn Reson Imaging	1
Magn Reson Med	11
Malar J	4
Mar Drugs	1
Mar Environ Res	2
Mar Pollut Bull	8
Mass Spectrom Rev	1
Mater Adv	1
Materials (Basel)	4
Matern Child Nutr	1
Matrix Biol	1
Maturitas	5
Mayo Clin Proc	1
Mayo Clin Proc Innov Qual Outcomes	1
Mech Dev	2
Med	1
Med Anthropol Q	1
Med Clin North Am	1
Med Confl Surviv	1
Med Dosim	1
Med Health Care Philos	3
Med Hypotheses	2
Med Hypothesis Discov Innov Ophthalmol	1
Med Image Anal	6
Med Image Comput Comput Assist Interv	2
Med J Aust	1
Med Mal Infect	2
Med Mycol	1
Med Phys	1
Med Sante Trop	4
Med Sci (Basel)	2
Med Sci (Paris)	10
Med Sci Sports Exerc	1
Med Teach	1
Med Trop Sante Int	1
Medchemcomm	1
Mediastinum	2
Medicina (Kaunas)	2
Medicine (Baltimore)	10
Medicines (Basel)	1
Melanoma Res	1
Mem Cognit	6
Memory	8
Menopause	1
Metab Syndr Relat Disord	1
Metabolism	3
Metabolites	5
Metabolomics	3
Metallomics	1
Methods	3
Methods Cell Biol	4
Methods Enzymol	3
Methods Mol Biol	28
Methods Protoc	1
MethodsX	5
Microb Ecol	2
Microb Ecol Health Dis	1
Microb Pathog	1
Microbes Infect	2
Microbiology (Reading)	1
Micromachines (Basel)	1
Microorganisms	8
Microsc Res Tech	1
Middle East Afr J Ophthalmol	1
Midwifery	2
Mikrochim Acta	1
Minerva Anestesiol	2
Minerva Cardioangiol	1
Minerva Chir	1
Minerva Ginecol	1
Minerva Stomatol	1
Minerva Urol Nephrol	1
Mitochondrial DNA A DNA Mapp Seq Anal	1
Mol Biol Cell	4
Mol Biol Evol	3
Mol Cell	6
Mol Cell Biol	3
Mol Cell Endocrinol	1
Mol Cell Proteomics	3
Mol Cytogenet	1
Mol Diagn Ther	2
Mol Ecol	13
Mol Ecol Resour	3
Mol Genet Genomic Med	1
Mol Genet Genomics	1
Mol Genet Metab	2
Mol Genet Metab Rep	2
Mol Imaging Biol	1
Mol Immunol	1
Mol Metab	3
Mol Microbiol	3
Mol Neurobiol	4
Mol Pharm	5
Mol Phylogenet Evol	6
Mol Plant	1
Mol Psychiatry	8
Mol Ther	2
Mol Ther Methods Clin Dev	1
Molecules	20
Mon Not R Astron Soc	1
Mov Disord	5
Mov Disord Clin Pract	2
Mult Scler	3
Mult Scler Relat Disord	1
Multidiscip Respir Med	1
Multimed Man Cardiothorac Surg	10
Multivariate Behav Res	1
Mycoses	1
N Engl J Med	10
NMR Biomed	6
NPJ Aging Mech Dis	1
NPJ Biofilms Microbiomes	1
NPJ Digit Med	3
NPJ Genom Med	1
NPJ Prim Care Respir Med	1
NPJ Sci Learn	1
NPJ Vaccines	1
Nano Lett	27
Nanomaterials (Basel)	3
Nanomedicine	6
Nanomedicine (Lond)	1
Nanoscale	20
Nanoscale Adv	1
Nanoscale Horiz	2
Nanoscale Res Lett	1
Nanotechnology	3
Nanotoxicology	1
Nat Biomed Eng	1
Nat Biotechnol	4
Nat Cancer	2
Nat Cell Biol	4
Nat Chem	2
Nat Chem Biol	1
Nat Commun	125
Nat Ecol Evol	6
Nat Genet	14
Nat Geosci	2
Nat Hum Behav	16
Nat Immunol	1
Nat Mater	10
Nat Med	5
Nat Metab	5
Nat Methods	7
Nat Microbiol	2
Nat Nanotechnol	15
Nat Neurosci	7
Nat Phys	2
Nat Plants	2
Nat Prod Rep	2
Nat Prod Res	2
Nat Protoc	1
Nat Rev Cancer	1
Nat Rev Clin Oncol	3
Nat Rev Dis Primers	2
Nat Rev Drug Discov	4
Nat Rev Endocrinol	1
Nat Rev Genet	2
Nat Rev Immunol	1
Nat Rev Methods Primers	1
Nat Rev Microbiol	2
Nat Rev Mol Cell Biol	2
Nat Rev Neurol	2
Nat Rev Neurosci	1
Nat Sci Sleep	1
Nat Struct Mol Biol	4
Natl Sci Rev	1
Nature	60
Nephrol Dial Transplant	10
Nephrol Ther	1
Nephrology (Carlton)	2
Nervenarzt	1
Netw Neurosci	1
Neural Comput	1
Neural Comput Appl	1
Neural Plast	2
Neural Regen Res	1
Neuro Oncol	2
Neurobiol Aging	4
Neurobiol Dis	1
Neurobiol Lang (Camb)	1
Neurobiol Learn Mem	4
Neurocase	2
Neurochem Int	1
Neurochem Res	1
Neurochirurgie	2
Neurocrit Care	1
Neurohospitalist	1
Neuroimage	40
Neuroimage Clin	10
Neurol Neurochir Pol	1
Neurol Neuroimmunol Neuroinflamm	2
Neurol Sci	1
Neurol Ther	2
Neurology	16
Neuromodulation	1
Neuromolecular Med	3
Neuron	13
Neurooncol Pract	1
Neuropediatrics	1
Neuropharmacology	4
Neurophysiol Clin	1
Neuropsychol Dev Cogn B Aging Neuropsychol Cogn	4
Neuropsychol Rehabil	2
Neuropsychol Rev	2
Neuropsychologia	23
Neuropsychopharmacology	5
Neuroradiology	5
Neurorehabil Neural Repair	1
Neuroreport	3
Neurosci Biobehav Rev	10
Neurosci Conscious	3
Neurosci Lett	6
Neuroscience	2
Neuroscientist	1
Neurosurg Focus	3
Neurosurg Rev	10
Neurosurgery	5
Neurotherapeutics	1
Neurotox Res	1
Neurourol Urodyn	1
New Microbes New Infect	3
New Phytol	5
Nonlinear Dyn	1
Nord J Psychiatry	1
Nucl Instrum Methods Phys Res A	1
Nucl Med Commun	1
Nucleic Acids Res	19
Nuklearmedizin	1
Numer Algorithms	2
Nurs Ethics	1
Nurse Educ Pract	1
Nurse Educ Today	1
Nutr Diabetes	3
Nutr Metab Cardiovasc Dis	1
Nutrients	12
Nutrition	4
ORL J Otorhinolaryngol Relat Spec	1
Obes Facts	7
Obes Rev	11
Obes Surg	3
Obesity (Silver Spring)	1
Ocul Oncol Pathol	1
Ocul Surf	3
Odontology	1
Oncoimmunology	2
Oncol Nurs Forum	1
Oncol Rep	1
Oncol Res Treat	1
Oncol Rev	1
Oncologist	2
Oncology	3
Oncoscience	1
Oncotarget	11
Open Access J Contracept	1
Open Forum Infect Dis	9
Open Heart	7
Open Ophthalmol J	2
Open Res Eur	1
Oper Neurosurg (Hagerstown)	1
Ophthalmic Genet	1
Ophthalmic Physiol Opt	2
Ophthalmol Ther	2
Ophthalmology	2
Oral Dis	1
Org Biomol Chem	8
Org Lett	8
Orig Life Evol Biosph	1
Orphanet J Rare Dis	3
Orthod Craniofac Res	2
Orthod Fr	1
Orthop Clin North Am	1
Orthop J Sports Med	5
Orthop Traumatol Surg Res	24
Osteoporos Int	9
Otol Neurotol	1
Otolaryngol Head Neck Surg	1
PLOS Digit Health	1
PLOS Glob Public Health	2
PLoS Biol	6
PLoS Comput Biol	10
PLoS Genet	6
PLoS Med	6
PLoS Negl Trop Dis	20
PLoS One	163
PLoS Pathog	4
PM R	1
Paediatr Anaesth	6
Paediatr Child Health	1
Pain	4
Pain Manag Nurs	2
Pain Rep	1
Pan Afr Med J	2
Pancreas	2
Parasit Vectors	3
Parasite Immunol	1
Parasitol Res	2
Parkinsonism Relat Disord	2
Part Fibre Toxicol	1
Party Politics	2
Pathogens	5
Patient Educ Couns	8
Patient Prefer Adherence	1
Pediatr Allergy Immunol	1
Pediatr Blood Cancer	5
Pediatr Cardiol	1
Pediatr Crit Care Med	3
Pediatr Diabetes	1
Pediatr Hematol Oncol	1
Pediatr Infect Dis J	5
Pediatr Nephrol	1
Pediatr Pulmonol	1
Pediatr Radiol	7
Pediatr Res	4
Pediatr Rev	1
Pediatr Rheumatol Online J	2
Pediatr Transplant	2
Pediatrics	3
PeerJ	6
Per Med	2
Perception	1
Periodontol 2000	1
Perit Dial Int	1
Pers Soc Psychol Bull	2
Persoonia	2
Perspect Psychol Sci	1
Pflugers Arch	1
Phage (New Rochelle)	1
Pharm Pract (Granada)	2
Pharmaceuticals (Basel)	3
Pharmaceutics	10
Pharmacoepidemiol Drug Saf	1
Pharmacogenet Genomics	2
Pharmacogenomics	3
Pharmacogenomics J	2
Pharmacol Biochem Behav	1
Pharmacol Res	5
Pharmacol Rev	1
Pharmacol Ther	1
Pharmacopsychiatry	2
Pharmacy (Basel)	6
Phenomics	1
Philos Ethics Humanit Med	1
Philos Stud	1
Philos Trans A Math Phys Eng Sci	7
Philos Trans R Soc Lond B Biol Sci	1
Phlebology	2
Photochem Photobiol	3
Photochem Photobiol Sci	3
Photodermatol Photoimmunol Photomed	1
Photosynth Res	4
Phys Chem Chem Phys	35
Phys Imaging Radiat Oncol	1
Phys Life Rev	3
Phys Med	16
Phys Med Biol	1
Phys Rev A (Coll Park)	1
Phys Rev E	28
Phys Rev E Stat Nonlin Soft Matter Phys	5
Phys Rev Lett	299
Phys Ther	2
Physiol Meas	1
Physiother Theory Pract	2
PhytoKeys	1
Phytochem Anal	2
Phytochemistry	1
Phytomedicine	3
Phytother Res	1
Pilot Feasibility Stud	3
Placenta	1
Plan Theory	1
Plant Cell	2
Plant Cell Physiol	1
Plant J	3
Plant Physiol	9
Plant Physiol Biochem	4
Planta Med	3
Plants (Basel)	6
Plast Reconstr Surg	2
Pol Arch Intern Med	1
Polym Chem	1
Polymers (Basel)	1
Popul Space Place	1
Praxis (Bern 1994)	16
Prehosp Disaster Med	2
Prenat Diagn	2
Presse Med	2
Prev Med	5
Prev Med Rep	4
Prim Care Diabetes	2
Prim Health Care Res Dev	2
Probab Theory Relat Fields	2
Proc Biol Sci	2
Proc Natl Acad Sci U S A	50
Proc SPIE Int Soc Opt Eng	1
Prog Cardiovasc Dis	2
